Feb 22 19:43:06: access: connection for localhost from 127.0.0.1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:35.0) Gecko/20100101 Firefox/35.0): main
Feb 22 19:43:17: access: connection for localhost from 127.0.0.1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:35.0) Gecko/20100101 Firefox/35.0): main
Feb 22 19:43:18: access: connection for localhost from 127.0.0.1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:35.0) Gecko/20100101 Firefox/35.0): main
Feb 22 19:45:03: access: connection for localhost from 127.0.0.1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:35.0) Gecko/20100101 Firefox/35.0): main
Feb 22 19:45:04: access: connection for localhost from 127.0.0.1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:35.0) Gecko/20100101 Firefox/35.0): main
Feb 22 19:45:42: access: connection for localhost from 127.0.0.1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:35.0) Gecko/20100101 Firefox/35.0): main
Feb 22 19:45:43: access: connection for localhost from 127.0.0.1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:35.0) Gecko/20100101 Firefox/35.0): main
Feb 22 19:46:42: access: connection for localhost from 127.0.0.1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:35.0) Gecko/20100101 Firefox/35.0): main
Feb 22 19:46:42: access: connection for localhost from 127.0.0.1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:35.0) Gecko/20100101 Firefox/35.0): UC.js
Feb 22 19:46:42: access: connection for localhost from 127.0.0.1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:35.0) Gecko/20100101 Firefox/35.0): css/UC.css
Feb 22 19:46:47: access: connection for localhost from 127.0.0.1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:35.0) Gecko/20100101 Firefox/35.0): gameplay?code=AQDjIdYM8I5l6sniqR-XxqYK5bM_cthO3nywlbhPLfo9EPccCmaVtaiSPk2DDd7NPlrd9S_SN5fMh8pQMY7wgMVwrx8VHyGc_duaz_7awtVzy-BaLIWkz8NShP1vMsi6KBk2Nzod9OQBB1jJO81JW7QOhPlLfigcStkhctEkWQ0eQUVmJuT72IIwR75HoA1AlPLUNvKNK6onAFuc2EqI4eQKFr5LQ8-0SqIpHc-dymny6NJ8NsWXkwgUN5ZZwx-BjJU2dynWQMjI1wutG6EOdZ_nCHBd__U2C26i0tuRWzmSLsLIoixAQQKeoomR4kUKqp4
Feb 22 19:47:18: access: connection for localhost from 127.0.0.1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:35.0) Gecko/20100101 Firefox/35.0): main
Feb 22 19:47:19: access: connection for localhost from 127.0.0.1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:35.0) Gecko/20100101 Firefox/35.0): gameplay?code=AQCBvC53-riHcYhz7cHYD8nW_tDkZ5kDTerbPk950KzbYZs41PqIR3eCp8feZosSuT-sVnX3LwXyxxinel9ArarLFnf9t06qOOuDzzC24DpzB0UXwWLIRImqoAz35HCMRjdxNjxa85DFDRHlxLarWMeBKH0l8akW4LWIdmLG0P6nkHCiC4TsuQZf7h2gwXjpZyHJUrk6fRqKXW7_NjTfJHjXgI0jpalJ1pyFQceSjOJQ2fqj54ULsLLl0L9qWZIS0sWFAYIU4bFF-_NZTZjW4Gux5i_2BgylhmGpurp_BEguHgNBhZtCWrKNIfvUoqU0fEE
Feb 22 19:47:38: access: connection for localhost from 127.0.0.1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:35.0) Gecko/20100101 Firefox/35.0): gameplay?code=AQCBvC53-riHcYhz7cHYD8nW_tDkZ5kDTerbPk950KzbYZs41PqIR3eCp8feZosSuT-sVnX3LwXyxxinel9ArarLFnf9t06qOOuDzzC24DpzB0UXwWLIRImqoAz35HCMRjdxNjxa85DFDRHlxLarWMeBKH0l8akW4LWIdmLG0P6nkHCiC4TsuQZf7h2gwXjpZyHJUrk6fRqKXW7_NjTfJHjXgI0jpalJ1pyFQceSjOJQ2fqj54ULsLLl0L9qWZIS0sWFAYIU4bFF-_NZTZjW4Gux5i_2BgylhmGpurp_BEguHgNBhZtCWrKNIfvUoqU0fEE
Feb 22 19:47:38: access: connection for localhost from 127.0.0.1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:35.0) Gecko/20100101 Firefox/35.0): css/UC.css
Feb 22 19:48:00: access: connection for localhost from 127.0.0.1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:35.0) Gecko/20100101 Firefox/35.0): gameplay?code=AQCBvC53-riHcYhz7cHYD8nW_tDkZ5kDTerbPk950KzbYZs41PqIR3eCp8feZosSuT-sVnX3LwXyxxinel9ArarLFnf9t06qOOuDzzC24DpzB0UXwWLIRImqoAz35HCMRjdxNjxa85DFDRHlxLarWMeBKH0l8akW4LWIdmLG0P6nkHCiC4TsuQZf7h2gwXjpZyHJUrk6fRqKXW7_NjTfJHjXgI0jpalJ1pyFQceSjOJQ2fqj54ULsLLl0L9qWZIS0sWFAYIU4bFF-_NZTZjW4Gux5i_2BgylhmGpurp_BEguHgNBhZtCWrKNIfvUoqU0fEE
Feb 22 19:48:00: access: connection for localhost from 127.0.0.1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:35.0) Gecko/20100101 Firefox/35.0): css/UC.css
